Rank	Team	W-L-T	Pts For	Pts Agnst	Streak	Waiver	Moves
1	logo No Verstappen Me	9-4-0	1869.92	1539.66	W-3	8	7
2	logo Georgia's College $	8-5-0	1610.44	1620.32	W-4	10	20
3	logo My Next Designer Bag	8-5-0	1583.30	1572.06	W-3	11	12
4	logo Show Me Your TDs	8-5-0	1561.42	1499.62	L-1	6	12
5	logo Woody Strikes Back	8-5-0	1508.78	1389.36	W-1	2	6
6	logo It's Already Over	7-6-0	1628.02	1526.90	W-2	3	8
7	logo Go Blue	7-6-0	1611.76	1543.32	L-1	7	30
8	logo CaliCow	6-7-0	1352.46	1402.32	L-2	5	18
9	logo Doin this for MAX	5-8-0	1573.86	1611.04	W-1	9	22
10	logo RumRunners	5-8-0	1445.50	1481.66	L-4	4	3
11	logo Fantasy Killers	4-9-0	1378.82	1605.42	L-4	12	21
12	logo Team Improvement	3-10-0	1210.82	1543.42	L-6	1	9
