Rank	Team	W-L-T	Pts For	Pts Agnst	Streak	Waiver	Moves
1	logo Kyle's Grand Team	9-4-0	1636.30	1398.22	L-1	$31	9	23
2	logo Carter's Flight Plan	8-5-0	1644.34	1606.20	W-3	$25	1	13
3	logo Wrath of Kone	8-5-0	1616.26	1536.84	W-2	$55	6	13
4	logo Derrieres	7-6-0	1676.20	1612.96	W-1	$15	7	20
5	logo Mark Levine's Team	7-6-0	1663.62	1553.62	W-2	$53	4	19
6	logo The Flushers	7-6-0	1620.84	1675.84	W-1	$0	10	29
7	logo Tea Party Patriots	7-6-0	1564.88	1529.24	L-2	$0	11	49
8	logo highly principled butt eater	6-7-0	1623.88	1642.64	L-1	$90	2	9
9	logo Lucky The Duck	6-7-0	1602.00	1647.76	W-2	$34	8	24
10	logo Terken McGerkin	6-7-0	1536.96	1496.04	L-2	$1	5	33
11	logo Destiny Warriors	4-9-0	1495.26	1689.56	L-4	$0	12	25
12	logo Dingus McGoo	3-10-0	1591.26	1882.88	L-2	$70	3	14
