Team,Weekly Scores
Kyle's Grand Team,141.62,105.98,121.72,169.82,167.88,150.90,138.88,122.02,85.58,136.74,77.94,130.70,86.52
Carter's Flight Plan,152.26,100.80,115.54,114.68,126.22,160.80,129.04,101.72,109.58,113.62,156.72,99.36,164.00
Wrath of Kone,121.40,85.96,128.72,92.42,188.20,172.82,115.52,116.86,93.66,121.74,115.76,155.00,108.20
Derrieres,154.16,130.00,148.84,106.92,171.76,142.86,188.64,80.36,85.80,92.62,139.62,77.50,157.12
Mark Levine's Team,177.38,169.36,140.82,92.12,107.00,133.64,109.50,100.26,155.08,118.02,106.72,125.02,128.70
The Flushers,140.66,178.64,140.38,82.76,162.42,82.18,124.36,118.20,86.10,108.00,143.98,115.04,138.12
Tea Party Patriots,151.48,111.12,137.00,160.52,109.08,148.58,111.74,115.10,97.74,130.34,79.50,97.52,115.16
highly principled butt eater,169.92,137.84,137.06,134.44,88.38,96.48,53.98,150.94,116.50,86.82,183.90,136.48,131.14
Lucky The Duck,112.20,148.02,137.12,153.26,117.88,119.82,112.20,122.34,120.80,107.30,104.78,120.04,126.24
Terken McGerkin,126.80,126.76,97.38,124.84,144.68,132.88,110.38,120.38,114.24,125.72,116.68,85.90,110.32
Destiny Warriors,111.14,103.82,124.92,135.00,156.80,112.54,116.26,108.90,116.76,95.12,58.82,132.08,123.10
Dingus McGoo,108.98,123.52,143.14,158.78,148.22,111.50,135.28,95.72,113.64,96.50,134.38,106.12,115.48
